ID,qualification,DOB,age
39d6a5a8-039e-11ef-8399-325096b39f47,Bachelor's Degree,1990-05-15,31
39d6a76a-039e-11ef-a0bf-325096b39f47,Master's Degree,1985-10-22,36
39d6a7d8-039e-11ef-b43c-325096b39f47,High School Diploma,1995-02-08,27
39d6a828-039e-11ef-92f8-325096b39f47,Ph.D.,1978-07-30,43
39d6a86e-039e-11ef-ac55-325096b39f47,Bachelor's Degree,1988-11-03,33
39d6a8be-039e-11ef-8434-325096b39f47,Associate's Degree,1970-12-20,51
39d6a904-039e-11ef-81fe-325096b39f47,High School Diploma,1998-09-12,23
39d6a940-039e-11ef-9d6b-325096b39f47,Master's Degree,1982-03-18,40
39d6a986-039e-11ef-abb3-325096b39f47,Ph.D.,1975-06-25,46
39d6a9cc-039e-11ef-9fc2-325096b39f47,Bachelor's Degree,1991-08-07,29